end,month,start,value
3,16-18h,2,260
4,16-18h,3,225
5,16-18h,4,209
6,16-18h,5,251
7,16-18h,6,186
8,16-18h,7,213
9,16-18h,8,194
10,16-18h,9,206
11,16-18h,10,324
12,16-18h,11,234
13,16-18h,12,197
14,16-18h,13,220
15,16-18h,14,217
16,16-18h,15,141
17,16-18h,16,176
18,16-18h,17,172
19,16-18h,18,288
20,16-18h,19,268
21,16-18h,20,192
22,16-18h,21,209
23,16-18h,22,245
24,16-18h,23,208
25,16-18h,24,266
26,16-18h,25,292
27,16-18h,26,246
28,16-18h,27,308
29,16-18h,28,230
30,16-18h,29,259
1,18-20h,0,268
2,18-20h,1,299
3,18-20h,2,269
4,18-20h,3,230
5,18-20h,4,288
6,18-20h,5,340
7,18-20h,6,290
8,18-20h,7,268
9,18-20h,8,134
10,18-20h,9,220
11,18-20h,10,258
12,18-20h,11,281
13,18-20h,12,298
14,18-20h,13,335
15,18-20h,14,235
16,18-20h,15,205
17,18-20h,16,212
18,18-20h,17,231
19,18-20h,18,337
20,18-20h,19,343
21,18-20h,20,253
22,18-20h,21,309
23,18-20h,22,360
24,18-20h,23,237
25,18-20h,24,207
26,18-20h,25,278
27,18-20h,26,326
28,18-20h,27,330
29,18-20h,28,321
30,18-20h,29,288
1,20-22h,0,402
2,20-22h,1,297
3,20-22h,2,323
4,20-22h,3,236
5,20-22h,4,245
6,20-22h,5,305
7,20-22h,6,319
8,20-22h,7,263
9,20-22h,8,224
10,20-22h,9,256
11,20-22h,10,258
12,20-22h,11,226
13,20-22h,12,292
14,20-22h,13,351
15,20-22h,14,292
16,20-22h,15,236
17,20-22h,16,232
18,20-22h,17,261
19,20-22h,18,369
20,20-22h,19,290
21,20-22h,20,226
22,20-22h,21,210
23,20-22h,22,298
24,20-22h,23,198
25,20-22h,24,261
26,20-22h,25,218
27,20-22h,26,297
28,20-22h,27,232
29,20-22h,28,213
30,20-22h,29,284
1,22-24h,0,200
2,22-24h,1,158
3,22-24h,2,298
4,22-24h,3,216
5,22-24h,4,207
6,22-24h,5,175
7,22-24h,6,245
8,22-24h,7,159
9,22-24h,8,190
10,22-24h,9,166
11,22-24h,10,275
12,22-24h,11,237
13,22-24h,12,150
14,22-24h,13,169
15,22-24h,14,261
16,22-24h,15,239
17,22-24h,16,171
18,22-24h,17,131
19,22-24h,18,121
20,22-24h,19,277
21,22-24h,20,187
22,22-24h,21,194
23,22-24h,22,165
24,22-24h,23,152
25,22-24h,24,163
26,22-24h,25,155
27,22-24h,26,185
28,22-24h,27,116
29,22-24h,28,180
30,22-24h,29,189
