end,month,start,value
14,16-18h,13,0
15,16-18h,14,4
16,16-18h,15,0
17,16-18h,16,5
18,16-18h,17,0
19,16-18h,18,16
20,16-18h,19,9
21,16-18h,20,18
22,16-18h,21,18
23,16-18h,22,14
24,16-18h,23,27
25,16-18h,24,0
26,16-18h,25,5
27,16-18h,26,9
28,16-18h,27,14
29,16-18h,28,0
30,16-18h,29,18
1,18-20h,0,2
2,18-20h,1,2
3,18-20h,2,20
4,18-20h,3,9
5,18-20h,4,11
6,18-20h,5,7
7,18-20h,6,18
8,18-20h,7,2
9,18-20h,8,0
10,18-20h,9,9
11,18-20h,10,9
12,18-20h,11,0
13,18-20h,12,0
14,18-20h,13,11
15,18-20h,14,0
16,18-20h,15,0
17,18-20h,16,0
18,18-20h,17,13
19,18-20h,18,0
20,18-20h,19,9
21,18-20h,20,12
22,18-20h,21,11
23,18-20h,22,0
24,18-20h,23,10
25,18-20h,24,18
26,18-20h,25,5
27,18-20h,26,2
28,18-20h,27,13
29,18-20h,28,18
30,18-20h,29,1
1,20-22h,0,9
2,20-22h,1,19
3,20-22h,2,9
4,20-22h,3,2
5,20-22h,4,16
6,20-22h,5,29
7,20-22h,6,2
8,20-22h,7,2
9,20-22h,8,7
10,20-22h,9,18
11,20-22h,10,9
12,20-22h,11,0
13,20-22h,12,9
14,20-22h,13,9
15,20-22h,14,5
16,20-22h,15,2
17,20-22h,16,9
18,20-22h,17,9
19,20-22h,18,0
20,20-22h,19,0
21,20-22h,20,20
22,20-22h,21,0
23,20-22h,22,0
24,20-22h,23,18
25,20-22h,24,9
26,20-22h,25,9
27,20-22h,26,0
28,20-22h,27,9
29,20-22h,28,0
30,20-22h,29,2
1,22-24h,0,0
2,22-24h,1,5
3,22-24h,2,0
4,22-24h,3,0
5,22-24h,4,9
6,22-24h,5,0
7,22-24h,6,0
8,22-24h,7,9
9,22-24h,8,18
10,22-24h,9,0
11,22-24h,10,0
12,22-24h,11,0
13,22-24h,12,18
14,22-24h,13,0
15,22-24h,14,0
16,22-24h,15,7
17,22-24h,16,9
18,22-24h,17,9
19,22-24h,18,0
20,22-24h,19,14
21,22-24h,20,9
22,22-24h,21,9
23,22-24h,22,9
24,22-24h,23,2
25,22-24h,24,0
26,22-24h,25,9
27,22-24h,26,0
28,22-24h,27,5
29,22-24h,28,5
30,22-24h,29,0
